channel_id,last_video_id,channel_name
UCKlVcvjUCU2RpBRw864EDGQ,3y7cj83_1gE,Sergey Stilov
UCyHZdWBnfVcyd5NdB6JVtDg,ZM3jrOnKXrs,LuckyStation
UCiyFWXStxJUooYLqD359h-A,PKMe3welX98,Российская Дрифт Серия RDS
UC6cNlfm0duMdbAdJtPcZ-Ew,vAV2xo1MFEE,BoostMotors
UCBnJJcpyglvK7IDdNbCFsOQ,e8I74xuDn9Q,zaRRubin
UCAirAlopCtOv-s2-xozo40w,VD124MThe8A,TIME UP Drift Team
UCXRvgQp9y5mtkp2VlWGKrQQ,R_itt4yShkM,Форвард Авто
UCuuy-iu602Sv8pxi6saqF1Q,u2_XD5B9E9U,Игорь Озолин
UCUzuvXCzmBqQxo0NP0NdH3A,W9GwLsaIv_0,CARVILLE RACING DRIFT TEAM
UCOqrcdbSO5BAxogRhpFjsNg,g99pKQkwiFY,DARKSIDE Xperience
UCs20Z6rr0uw9sNYxgX3Qsig,B2BslGXxeIg,AIMOL Russia
UC5qUrf6FHfOjLihbML0TaSg,M-aww1DHy6E,Nikita Shikov
UCRc52fw6mKC0eqRlvEyKP-A,9tURiY_Q8ck,BlackDrift - Гоночная команда RDS Europe
UC2hz5L13-EFe8c1J2jPfp2g,M12x6dExRow,VahrushevDRIFT
UC7xBjdAdrrmcAvB_nPloQ-w,xw6h3-5F70c,Игора Драйв
UCFTo4WmW6o5vowaSdt5PqDQ,wehx4wwRqj4,FRESH RACING
